 1504866009.795918945 ;0.954732 ;1.656348
 1504866009.895915798 ;0.954653 ;1.656400
 1504866009.995952620 ;0.938520 ;1.667058
 1504866010.095921590 ;0.922376 ;1.677722
 1504866010.195928449 ;0.906253 ;1.688373
 1504866010.295923845 ;0.890131 ;1.699022
 1504866010.396049953 ;0.867208 ;1.714165
 1504866010.495992297 ;0.828451 ;1.739766
 1504866010.595953821 ;0.785598 ;1.768075
 1504866010.695952872 ;0.734900 ;1.801565
 1504866010.796103149 ;0.677069 ;1.839767
 1504866010.895927511 ;0.613636 ;1.881669
 1504866010.995936898 ;0.546231 ;1.926196
 1504866011.095930634 ;0.477549 ;1.971566
 1504866011.196006630 ;0.408869 ;2.016934
 1504866011.295933586 ;0.340216 ;2.062286
 1504866011.395935645 ;0.271614 ;2.107603
 1504866011.495918924 ;0.202947 ;2.152963
 1504866011.596195454 ;0.133870 ;2.198594
 1504866011.696314557 ;0.065425 ;2.243807
 1504866011.796218255 ;-0.003079 ;2.289060
 1504866011.896049804 ;-0.071821 ;2.334469
 1504866011.996002537 ;-0.140334 ;2.379728
 1504866012.096099616 ;-0.209364 ;2.425328
 1504866012.196261526 ;-0.278081 ;2.470720
 1504866012.296478622 ;-0.346366 ;2.515828
 1504866012.396461770 ;-0.415520 ;2.561510
 1504866012.496361138 ;-0.483856 ;2.606652
 1504866012.596387343 ;-0.552459 ;2.651969
 1504866012.696114920 ;-0.621478 ;2.697562
 1504866012.796352993 ;-0.687269 ;2.741023
 1504866012.896400852 ;-0.748403 ;2.781406
 1504866012.996402902 ;-0.803959 ;2.818105
 1504866013.096065102 ;-0.853218 ;2.850645
 1504866013.196139920 ;-0.894227 ;2.877734
 1504866013.296464023 ;-0.932076 ;2.902737
 1504866013.396263807 ;-0.954163 ;2.917327
 1504866013.496137375 ;-0.970183 ;2.927910
 1504866013.595948610 ;-0.986320 ;2.938569
 1504866013.696166219 ;-1.002387 ;2.949183
 1504866013.796102634 ;-1.018194 ;2.959625
 1504866013.896142656 ;-1.018194 ;2.959625
 1504866013.995941807 ;-1.018194 ;2.959625
 1504866014.095951997 ;-1.018194 ;2.959625
 1504866014.196048114 ;-1.018194 ;2.959625
 1504866014.295929362 ;-1.018194 ;2.959625
 1504866014.395926390 ;-1.018194 ;2.959625
 1504866014.495937553 ;-1.018194 ;2.959625
 1504866014.595933811 ;-1.018194 ;2.959625
 1504866014.695926436 ;-1.018194 ;2.959625
 1504866014.795913627 ;-1.018194 ;2.959625
 1504866014.895925012 ;-1.018194 ;2.959625
